14.349999999999998;[0, 1];[0, 1, 1];[0, 1, 1, 1];[1]
14.02;[0];[0, 1, 1];[0, 3];[0, 4]
14.02;[0, 1];[0, 1];[0, 3];[0, 4]
13.97;[0];[0, 2];[0, 1, 2];[0, 4]
13.969999999999999;[0, 1];[0, 2];[0, 2];[0, 4]
13.950000000000001;[0];[0, 2];[0, 3];[0, 1, 3]
13.950000000000001;[0, 1];[0, 2];[0, 3];[3]
13.9;[0];[0, 2];[0, 3];[0, 2, 2]
13.759999999999998;[0];[0, 1];[0, 1, 1, 1];[0, 4]
13.759999999999998;[0];[0, 1, 1];[0, 1, 1];[0, 4]
13.759999999999998;[0, 1];[0];[0, 1, 1, 1];[0, 4]
13.759999999999998;[0, 1];[0, 1];[0, 1, 1];[0, 4]
13.759999999999998;[0, 1];[0, 1, 1];[0, 1];[0, 4]
13.690000000000001;[0];[0, 1];[0, 1, 2];[0, 1, 3]
13.690000000000001;[0];[0, 1, 1];[0, 1, 2];[3]
13.690000000000001;[0];[0, 1, 1];[0, 3];[1, 2]
13.690000000000001;[0, 1];[0];[0, 1, 2];[0, 1, 3]
13.690000000000001;[0, 1];[0, 1];[0, 1, 2];[3]
13.690000000000001;[0, 1];[0, 1];[0, 3];[1, 2]
13.69;[0];[0, 1];[0, 3];[0, 1, 1, 2]
13.69;[0];[0, 1, 1];[0, 2];[0, 1, 3]
13.69;[0];[0, 2];[0, 1, 1];[0, 1, 3]
13.69;[0];[0, 2];[0, 1, 1, 1];[3]
13.69;[0];[0, 2];[0, 3];[1, 1, 1]
13.69;[0, 1];[0];[0, 3];[0, 1, 1, 2]
13.69;[0, 1];[0, 1];[0, 2];[0, 1, 3]
13.69;[0, 1];[0, 1, 1];[2];[0, 3]
13.69;[0, 1];[0, 1, 1];[0, 3];[2]
13.69;[0, 1];[0, 2];[1, 1];[0, 3]
13.69;[0, 1];[0, 2];[0, 1];[0, 1, 3]
